ID,item_cnt_month
0,1.0515412
1,1.0669088
2,1.1413003
3,1.0623145
4,1.0955076
5,1.0925138
6,1.0666492
7,1.1963382
8,1.1989746
9,1.2549527
10,1.1647358
11,1.2975249
12,1.2919462
13,1.2482369
14,1.1641312
15,1.1087892
16,1.0847347
17,1.140622
18,1.1092556
19,1.0996982
20,1.2575095
21,1.0747402
22,1.0443568
23,1.0938678
24,1.0792022
25,1.1137428
26,1.0781841
27,1.1316296
28,1.0921068
29,1.0776298
30,1.3833339
31,1.0342655
32,1.076956
33,1.0842943
34,1.0985668
35,1.096842
36,1.0559311
37,1.0964265
38,1.0973592
39,1.0347047
40,1.1326692
41,1.0383139
42,1.0216715
43,1.0218803
44,1.0729556
45,1.0237459
46,1.0924281
47,1.024169
48,1.0083525
49,1.1660751
50,1.0416362
51,1.0825878
52,1.0087764
53,1.108963
54,1.0501719
55,1.0237806
56,1.0533458
57,1.0404445
58,1.0163898
59,1.0484889
60,1.0409108
61,1.0313535
62,1.1109691
63,1.0190748
64,1.0185789
65,1.0255232
66,1.0344908
67,1.0453981
68,1.0281205
69,1.0574489
70,1.0408208
71,1.017632
72,1.324045
73,1.005779
74,1.013667
75,1.0224283
76,1.0302219
77,1.0284972
78,0.9875865
79,1.0346437
80,1.0290146
81,1.0099473
82,1.0643246
83,1.0135565
84,1.0515412
85,1.0669088
86,1.1413003
87,1.0623145
88,1.0955076
89,1.0925138
90,1.0666492
91,1.1963382
92,1.1989746
93,1.2549527
94,1.1647358
95,1.2975249
96,1.2919462
97,1.2482369
98,1.1641312
99,1.1087892
100,1.0847347
101,1.140622
102,1.1092556
103,1.0996982
104,1.2575095
105,1.0747402
106,1.0443568
107,1.0938678
108,1.0792022
109,1.1137428
110,1.0781841
111,1.1316296
112,1.0921068
113,1.0776298
114,1.3833339
115,1.0342655
116,1.076956
117,1.0842943
118,1.0985668
119,1.096842
120,1.0559311
121,1.0964265
122,1.0973592
123,1.0347047
124,1.1326692
125,1.0383139
126,1.0283363
127,1.0597879
128,1.1341794
129,1.0551934
130,1.0883865
131,1.0853927
132,1.0595282
133,1.1892172
134,1.1896634
135,1.2478317
136,1.1568036
137,1.2678411
138,1.2848252
139,1.1406012
140,1.1570101
141,1.1016681
142,1.0776136
143,1.1290154
144,1.1021345
145,1.0925772
146,1.2188135
147,1.0802984
148,1.0372357
149,1.0867468
150,1.0720811
151,1.1066217
152,1.071063
153,1.3443732
154,1.345706
155,1.0788558
156,1.376213
157,1.0354913
158,1.0698351
159,1.0771732
160,1.0914457
161,1.089721
162,1.04881
163,1.0958674
164,1.0902382
165,1.0275836
166,1.1255482
167,1.0311928
168,1.6854016
169,1.7206436
170,2.1263819
171,1.7005122
172,1.8136361
173,1.7618252
174,1.7359608
175,2.187863
176,1.947889
177,2.0982656
178,2.2502973
179,2.134191
180,2.5032399
181,1.8058528
182,1.9262217
183,1.7781008
184,1.7540462
185,1.9399494
186,1.7785672
187,1.7690097
188,2.4756436
189,1.7567312
190,1.5849137
191,1.7631793
192,2.1324008
193,1.7977885
194,1.7474955
195,1.8033488
196,1.7638263
197,1.73394
198,1.8614664
199,1.7119238
200,1.9114782
201,2.108704
202,1.7678783
203,1.786563
204,1.7596225
205,1.7722318
206,1.7666706
207,1.7040163
208,2.1002107
209,1.7076254
210,1.0283363
211,1.0597879
212,1.1341794
213,1.0551934
214,1.0883865
215,1.0853927
216,1.0595282
217,1.1892172
218,1.1896634
219,1.2478317
220,1.1568036
221,1.2678411
222,1.2848252
223,1.1406012
224,1.1570101
225,1.1016681
226,1.0776136
227,1.1290154
228,1.1021345
229,1.0925772
230,1.2188135
231,1.0802984
232,1.0372357
233,1.0867468
234,1.0720811
235,1.1066217
236,1.071063
237,1.3443732
238,1.345706
239,1.0788558
240,1.376213
241,1.0354913
242,1.0698351
243,1.0771732
244,1.0914457
245,1.089721
246,1.04881
247,1.0958674
248,1.0902382
249,1.0275836
250,1.1255482
251,1.0311928
252,1.6854016
253,1.7206436
254,2.1263819
255,1.7005122
256,1.8136361
257,1.7618252
258,1.7359608
259,2.187863
260,1.947889
261,2.0982656
262,2.2502973
263,2.134191
264,2.5032399
265,1.8058528
266,1.9262217
267,1.7781008
268,1.7540462
269,1.9399494
270,1.7785672
271,1.7690097
272,2.4756436
273,1.7567312
274,1.5849137
275,1.7631793
276,2.1324008
277,1.7977885
278,1.7474955
279,1.8033488
280,1.7638263
281,1.73394
282,1.8614664
283,1.7119238
284,1.9114782
285,2.108704
286,1.7678783
287,1.786563
288,1.7596225
289,1.7722318
290,1.7666706
291,1.7040163
292,2.1002107
293,1.7076254
294,1.0216715
295,1.0218803
296,1.0729556
297,1.0237459
298,1.0924281
299,1.024169
300,1.0083525
301,1.1660751
302,1.0416362
303,1.0825878
304,1.0087764
305,1.108963
306,1.0501719
307,1.0237806
308,1.0533458
309,1.0404445
310,1.0163898
311,1.0484889
312,1.0409108
313,1.0313535
314,1.1109691
315,1.0190748
316,1.0185789
317,1.0255232
318,1.0344908
319,1.0453981
320,1.0281205
321,1.0574489
322,1.0408208
323,1.017632
324,1.324045
325,1.005779
326,1.013667
327,1.0224283
328,1.0302219
329,1.0284972
330,0.9875865
331,1.0346437
332,1.0290146
333,1.0099473
334,1.0643246
335,1.0135565
336,1.0216715
337,1.0218803
338,1.0729556
339,1.0237459
340,1.0924281
341,1.024169
342,1.0083525
343,1.1660751
344,1.0416362
345,1.0825878
346,1.0087764
347,1.108963
348,1.0501719
349,1.0237806
350,1.0533458
351,1.0404445
352,1.0163898
353,1.0484889
354,1.0409108
355,1.0313535
356,1.1109691
357,1.0190748
358,1.0185789
359,1.0255232
360,1.0344908
361,1.0453981
362,1.0281205
363,1.0574489
364,1.0408208
365,1.017632
366,1.324045
367,1.005779
368,1.013667
369,1.0224283
370,1.0302219
371,1.0284972
372,0.9875865
373,1.0346437
374,1.0290146
375,1.0099473
376,1.0643246
377,1.0135565
378,1.6854016
379,1.7206436
380,2.1263819
381,1.7005122
382,1.8136361
383,1.7618252
384,1.7359608
385,2.187863
386,1.947889
387,2.0982656
388,2.2502973
389,2.134191
390,2.5032399
391,1.8058528
392,1.9262217
393,1.7781008
394,1.7540462
395,1.9399494
396,1.7785672
397,1.7690097
398,2.4756436
399,1.7567312
400,1.5849137
401,1.7631793
402,2.1324008
403,1.7977885
404,1.7474955
405,1.8033488
406,1.7638263
407,1.73394
408,1.8614664
409,1.7119238
410,1.9114782
411,2.108704
412,1.7678783
413,1.786563
414,1.7596225
415,1.7722318
416,1.7666706
417,1.7040163
418,2.1002107
419,1.7076254
420,1.0288584
421,1.0380651
422,1.1565123
423,1.1598909
424,1.1049783
425,1.0668589
426,0.98515224
427,1.3224504
428,1.1734952
429,1.2351997
430,1.1269515
431,1.2528176
432,1.3115361
433,1.2097366
434,1.2103274
435,1.1235039
436,1.0791838
437,1.1116815
438,1.2305193
439,1.0781925
440,1.2070293
441,1.0659139
442,0.994684
443,1.0723622
444,1.0594826
445,1.065282
446,1.0566784
447,1.0772688
448,1.0701938
449,1.0896945
450,1.2868999
451,1.0319848
452,1.0554504
453,1.0921621
454,1.0820887
455,1.1047099
456,1.0140207
457,1.1207297
458,1.1024054
459,1.0355263
460,1.1697056
461,1.0745358
462,1.6854016
463,1.7206436
464,2.1263819
465,1.7005122
466,1.8136361
467,1.7618252
468,1.7359608
469,2.187863
470,1.947889
471,2.0982656
472,2.2502973
473,2.134191
474,2.5032399
475,1.8058528
476,1.9262217
477,1.7781008
478,1.7540462
479,1.9399494
480,1.7785672
481,1.7690097
482,2.4756436
483,1.7567312
484,1.5849137
485,1.7631793
486,2.1324008
487,1.7977885
488,1.7474955
489,1.8033488
490,1.7638263
491,1.73394
492,1.8614664
493,1.7119238
494,1.9114782
495,2.108704
496,1.7678783
497,1.786563
498,1.7596225
499,1.7722318
500,1.7666706
501,1.7040163
502,2.1002107
503,1.7076254
504,1.0216715
505,1.0218803
506,1.0729556
507,1.0237459
508,1.0924281
509,1.024169
510,1.0083525
511,1.1660751
512,1.0416362
513,1.0825878
514,1.0087764
515,1.108963
516,1.0501719
517,1.0237806
518,1.0533458
519,1.0404445
520,1.0163898
521,1.0484889
522,1.0409108
523,1.0313535
524,1.1109691
525,1.0190748
526,1.0185789
527,1.0255232
528,1.0344908
529,1.0453981
530,1.0281205
531,1.0574489
532,1.0408208
533,1.017632
534,1.324045
535,1.005779
536,1.013667
537,1.0224283
538,1.0302219
539,1.0284972
540,0.9875865
541,1.0346437
542,1.0290146
543,1.0099473
544,1.0643246
545,1.0135565
546,0.96148837
547,0.98415726
548,1.0512474
549,0.9985923
550,1.0054545
551,1.0024607
552,0.9668143
553,1.1062853
554,1.0609293
555,1.0962921
556,1.005264
557,1.08451
558,1.1332856
559,0.9890616
560,1.0054705
561,1.0187362
562,0.9946817
563,1.105052
564,1.0192026
565,1.0096452
566,1.1411283
567,1.0050962
568,0.95430386
569,1.0038149
570,0.9938837
571,1.0644188
572,0.98813105
573,1.0456916
574,1.0061688
575,0.9959237
576,1.2932811
577,0.95255935
578,0.98690313
579,0.99424136
580,1.0204756
581,1.006789
582,0.97784007
583,1.0129354
584,1.0073063
585,0.9446517
586,1.0304289
587,0.9482609
588,1.0283363
589,1.0597879
590,1.1341794
591,1.0551934
592,1.0883865
593,1.0853927
594,1.0595282
595,1.1892172
596,1.1896634
597,1.2478317
598,1.1568036
599,1.2678411
600,1.2848252
601,1.1406012
602,1.1570101
603,1.1016681
604,1.0776136
605,1.1290154
606,1.1021345
607,1.0925772
608,1.2188135
609,1.0802984
610,1.0372357
611,1.0867468
612,1.0720811
613,1.1066217
614,1.071063
615,1.3443732
616,1.345706
617,1.0788558
618,1.376213
619,1.0354913
620,1.0698351
621,1.0771732
622,1.0914457
623,1.089721
624,1.04881
625,1.0958674
626,1.0902382
627,1.0275836
628,1.1255482
629,1.0311928
630,1.0515412
631,1.0669088
632,1.1413003
633,1.0623145
634,1.0955076
635,1.0925138
636,1.0666492
637,1.1963382
638,1.1989746
639,1.2549527
640,1.1647358
641,1.2975249
642,1.2919462
643,1.2482369
644,1.1641312
645,1.1087892
646,1.0847347
647,1.140622
648,1.1092556
649,1.0996982
650,1.2575095
651,1.0747402
652,1.0443568
653,1.0938678
654,1.0792022
655,1.1137428
656,1.0781841
657,1.1316296
658,1.0921068
659,1.0776298
660,1.3833339
661,1.0342655
662,1.076956
663,1.0842943
664,1.0985668
665,1.096842
666,1.0559311
667,1.0964265
668,1.0973592
669,1.0347047
670,1.1326692
671,1.0383139
672,1.0439012
673,1.0401698
674,1.1160941
675,1.043701
676,1.0703013
677,1.0673075
678,1.0445344
679,1.271761
680,1.1097884
681,1.1716434
682,1.0770792
683,1.1814499
684,1.1184746
685,1.0920835
686,1.0772858
687,1.083583
688,1.0595284
689,1.0860984
690,1.0840493
691,1.0726205
692,1.1597148
693,1.0647519
694,1.028019
695,1.0686617
696,1.0570873
697,1.0885366
698,1.0696452
699,1.123482
700,1.0839593
701,1.0607705
702,1.3710036
703,1.0489175
704,1.0905335
705,1.0590881
706,1.07269
707,1.0716357
708,1.0307249
709,1.0777822
710,1.0721531
711,1.0466609
712,1.1074631
713,1.0502701
714,1.0216715
715,1.0218803
716,1.0729556
717,1.0237459
718,1.0924281
719,1.024169
720,1.0083525
721,1.1660751
722,1.0416362
723,1.0825878
724,1.0087764
725,1.108963
726,1.0501719
727,1.0237806
728,1.0533458
729,1.0404445
730,1.0163898
731,1.0484889
732,1.0409108
733,1.0313535
734,1.1109691
735,1.0190748
736,1.0185789
737,1.0255232
738,1.0344908
739,1.0453981
740,1.0281205
741,1.0574489
742,1.0408208
743,1.017632
744,1.324045
745,1.005779
746,1.013667
747,1.0224283
748,1.0302219
749,1.0284972
